Code,Semester,Average
PHL342,Fall 2021,B
PHY131,Fall 2021,B-
PHY151,Fall 2021,B-
PHY224,Fall 2021,B+
POL101,Fall 2021,B
POL107,Fall 2021,B
PSL300,Fall 2021,B
PSL372,Fall 2021,B
PSY100,Fall 2021,B-
PSY201,Fall 2021,B-
PSY210,Fall 2021,B+
PSY240,Fall 2021,B-
PSY280,Fall 2021,B+
PSY311,Fall 2021,B-
PSY322,Fall 2021,B
PSY370,Fall 2021,B
RLG303,Fall 2021,B
RLG318,Fall 2021,B+
RSM100,Fall 2021,B-
RSM219,Fall 2021,A-
RSM220,Fall 2021,B
RSM222,Fall 2021,B
RSM250,Fall 2021,B+
SOC100,Fall 2021,C+
SOC265,Fall 2021,B-
STA130,Fall 2021,B+
STA220,Fall 2021,C+
STA237,Fall 2021,B+
STA247,Fall 2021,B
STA302,Fall 2021,B-
STA347,Fall 2021,B-
WDW196,Fall 2021,B+
WGS373,Fall 2021,B+
ACT370,Winter 2022,B-
ANA300,Winter 2022,C+
ANA301,Winter 2022,C
ANT100,Winter 2022,B-
APM346,Winter 2022,B-
APM462,Winter 2022,C-
APM466,Winter 2022,B+
AST201,Winter 2022,B
BCH311,Winter 2022,B+
BCH340,Winter 2022,B+
BCH370,Winter 2022,A-
BIO130,Winter 2022,B
BIO220,Winter 2022,B-
BIO251,Winter 2022,B-
BMS100,Winter 2022,C+
CHM136,Winter 2022,B
CHM151,Winter 2022,B-
CHM247,Winter 2022,B-
CJH332,Winter 2022,B+
CLA201,Winter 2022,C+
CLA204,Winter 2022,B
CLA210,Winter 2022,C+
COG250,Winter 2022,B-
CRI210,Winter 2022,B+
CRI385,Winter 2022,B
CSC111,Winter 2022,A-
CSC148,Winter 2022,B-
CSC165,Winter 2022,B-
CSC209,Winter 2022,B
CSC240,Winter 2022,B-
CSC258,Winter 2022,B+
CSC263,Winter 2022,C+
CSC303,Winter 2022,B+
CSC317,Winter 2022,A-
CSC318,Winter 2022,B+
CSC324,Winter 2022,B
CSC343,Winter 2022,B+
CSC369,Winter 2022,B-
CSC373,Winter 2022,B+
CSC385,Winter 2022,A-
CSC401,Winter 2022,B
CSC404,Winter 2022,A-
CSC412,Winter 2022,B+
CSC413,Winter 2022,A-
CSC488,Winter 2022,B+
ECE316,Winter 2022,B
ECE462,Winter 2022,B+
ECE470,Winter 2022,B+
ECE496,Winter 2022,A-
ECO101,Winter 2022,C
ECO102,Winter 2022,C+
ECO105,Winter 2022,C+
ECO204,Winter 2022,C+
ECO209,Winter 2022,B-
ECO220,Winter 2022,C+
ECO322,Winter 2022,C+
ECO349,Winter 2022,B
ECO359,Winter 2022,B
ECO375,Winter 2022,B+
ECO475,Winter 2022,A-
ENT200,Winter 2022,B+
FAH381,Winter 2022,B-
FOR201,Winter 2022,C+
GGR124,Winter 2022,B-
GGR246,Winter 2022,B-
GGR252,Winter 2022,B-
GGR274,Winter 2022,B+
HIS102,Winter 2022,B-
HIS346,Winter 2022,B+
HIS357,Winter 2022,B-
HMB200,Winter 2022,B-
HMB320,Winter 2022,B-
HPS100,Winter 2022,B+
HPS240,Winter 2022,B-
IMM250,Winter 2022,B
JEG100,Winter 2022,B+
JSH300,Winter 2022,C+
LIN102,Winter 2022,C+
LIN192,Winter 2022,C+
LMP200,Winter 2022,B+
MAT133,Winter 2022,C+
MAT136,Winter 2022,B-
MAT137,Winter 2022,C+
MAT157,Winter 2022,C+
MAT198,Winter 2022,A-
MAT223,Winter 2022,B-
MAT224,Winter 2022,C
MAT235,Winter 2022,C+
MAT237,Winter 2022,C+
MAT244,Winter 2022,C+
MAT246,Winter 2022,C+
MAT247,Winter 2022,B+
MAT257,Winter 2022,B
MAT267,Winter 2022,B-
MAT301,Winter 2022,B
MAT315,Winter 2022,B-
MAT334,Winter 2022,B
MAT344,Winter 2022,C+
MAT351,Winter 2022,B+
MAT367,Winter 2022,B+
MAT448,Winter 2022,B+
MAT458,Winter 2022,A-
MAT477,Winter 2022,A
MCS224,Winter 2022,B
MCS225,Winter 2022,A-
MGT100,Winter 2022,C
NEW116,Winter 2022,B+
PCL102,Winter 2022,B+
PHL101,Winter 2022,B-
PHL210,Winter 2022,C+
PHL245,Winter 2022,C+
PHL356,Winter 2022,B
PHY131,Winter 2022,B
PHY132,Winter 2022,B
PHY152,Winter 2022,C+
PHY365,Winter 2022,B
POL106,Winter 2022,C+
POL218,Winter 2022,B-
POL224,Winter 2022,C+
POL337,Winter 2022,B-
POL378,Winter 2022,B
POL379,Winter 2022,B
PSL301,Winter 2022,B
PSL350,Winter 2022,B
PSY100,Winter 2022,B-
PSY201,Winter 2022,B-
PSY210,Winter 2022,B
PSY270,Winter 2022,B-
